example_id                                                   | status | run_time        |
------------------------------------------------------------ | ------ | --------------- |
./spec/channels/homes_channel_spec.rb[1:1]                   | failed | 0.00039 seconds |
./spec/channels/homes_channel_spec.rb[1:2]                   | failed | 0.00048 seconds |
./spec/controllers/registrations_controller_spec.rb[1:1:1]   | failed | 0.002 seconds   |
./spec/controllers/registrations_controller_spec.rb[1:2:1:1] | failed | 0.00438 seconds |
./spec/controllers/registrations_controller_spec.rb[1:2:1:2] | failed | 0.00228 seconds |
./spec/controllers/registrations_controller_spec.rb[1:2:2:1] | failed | 0.00395 seconds |
./spec/models/image_spec.rb[1:1]                             | passed | 0.11959 seconds |
./spec/models/user_spec.rb[1:1]                              | passed | 0.03029 seconds |
./spec/models/user_spec.rb[1:2]                              | passed | 0.00721 seconds |
./spec/models/user_spec.rb[1:3]                              | passed | 0.11161 seconds |
./spec/models/user_spec.rb[1:4]                              | passed | 0.00974 seconds |
./spec/models/user_spec.rb[1:5]                              | passed | 0.00681 seconds |
./spec/routing/registrations_routing_spec.rb[1:1:1]          | failed | 0.00413 seconds |
./spec/routing/registrations_routing_spec.rb[1:1:2]          | failed | 0.0109 seconds  |
./spec/routing/registrations_routing_spec.rb[1:1:3]          | failed | 0.00519 seconds |
./spec/routing/registrations_routing_spec.rb[1:1:4]          | failed | 0.00184 seconds |
./spec/routing/registrations_routing_spec.rb[1:1:5]          | failed | 0.00188 seconds |
./spec/routing/registrations_routing_spec.rb[1:1:6]          | failed | 0.0021 seconds  |
